Rank,Name,Points,Game Time,Kills,Deaths,Kpd,Hs,Country
1,PencilRocket,"69,281",4d 07:07h,369,242,1.52,203,Japan
2,Guei,"50,534",2d 02:26h,23,18,1.28,14,"Taiwan, Province of China"
3,db1138,"24,192",2d 01:09h,265,315,0.84,161,Viet Nam
4,dosan0903,"9,664",0d 21:38h,51,76,0.67,23,"Taiwan, Province of China"
5,󠀡,"9,508",0d 18:58h,132,63,2.10,86,"Korea, Republic of"
6,神威ڴR 做点正事吧巴巴托斯,"7,447",0d 11:31h,250,71,3.52,148,"Taiwan, Province of China"
7,駭客™ ⋋|=紅燈直直衝=|⋌,"6,268",0d 11:27h,89,150,0.59,48,"Taiwan, Province of China"
8,白菜鸡,"6,178",0d 07:46h,15,14,1.07,5,China
9,tankliu543,"6,071",0d 12:53h,24,81,0.30,9,"Taiwan, Province of China"
10,Aedan,"5,071",0d 17:57h,82,55,1.49,42,Australia
11,墨瑞,"3,934",0d 12:22h,27,67,0.40,14,China
12,๖ZŜI | Qaz,"3,792",0d 05:47h,126,108,1.17,53,Malaysia
13,你好 源友会 K ♥,"3,173",0d 03:51h,60,42,1.43,40,"Taiwan, Province of China"
14,Bun Phạm,"3,091",0d 04:26h,7,10,0.70,2,Viet Nam
15,xqz,"2,987",0d 03:33h,50,51,0.98,24,Philippines
16,ŘUF̌ | kaye,"2,957",1d 16:00h,227,378,0.60,132,"Taiwan, Province of China"
17,Touma Kazusa,"2,891",0d 03:36h,1,3,0.33,1,"Taiwan, Province of China"
18,鹹蝦叔-要不是我沒檢查,"2,542",0d 09:39h,92,10,9.20,70,"Taiwan, Province of China"
19,LMIB,"2,373",0d 01:48h,126,65,1.94,62,Singapore
20,labulabu208,"2,315",0d 02:58h,2,8,0.25,1,"Taiwan, Province of China"
21,BABUNTERANG,"2,292",0d 02:33h,11,8,1.38,5,Malaysia
22,๖ۣۜBOT™,"2,117",0d 02:34h,32,26,1.23,12,Seychelles
23,一切獻給，琥珀王,"2,057",0d 01:26h,9,0,9.00,9,"Taiwan, Province of China"
24,X?,"1,911",0d 01:38h,0,0,0.00,0,Philippines
25,国产007,"1,904",0d 01:21h,80,55,1.45,21,China
26,killer殺手,"1,871",0d 01:23h,4,8,0.50,1,"Taiwan, Province of China"
27,拜托了，再帮我拖延10秀,"1,820",0d 01:21h,0,0,0.00,0,China
28,AKaRi,"1,784",0d 02:28h,13,12,1.08,3,"Taiwan, Province of China"
29,nοοb Dark silent,"1,774",0d 01:25h,17,8,2.13,11,Indonesia
30,小蝦米,"1,731",0d 01:19h,0,0,0.00,0,"Taiwan, Province of China"
31,Eastlight,"1,730",0d 01:53h,9,4,2.25,4,"Taiwan, Province of China"
32,dev1ce,"1,706",0d 01:10h,25,31,0.81,17,Malaysia
33,H@ns,"1,682",0d 02:10h,12,18,0.67,3,Indonesia
34,OliverQueen,"1,676",0d 01:36h,3,6,0.50,1,Philippines
35,雪兰Yuki,"1,663",0d 01:22h,27,10,2.70,6,China
36,Jacky21,"1,652",0d 01:13h,5,10,0.50,4,Indonesia
37,dashung,"1,644",0d 01:40h,0,2,0.00,0,"Taiwan, Province of China"
38,:)XD,"1,638",0d 00:42h,15,5,3.00,6,China
39,adyjayaputro,"1,632",0d 00:29h,2,2,1.00,0,Indonesia
40,愉悅,"1,622",0d 00:57h,18,3,6.00,12,"Taiwan, Province of China"
41,valleyofdreams,"1,549",0d 01:34h,0,0,0.00,0,China
42,✪ㄐㄐ Ha,"1,533",0d 01:14h,24,4,6.00,17,"Taiwan, Province of China"
43,Counter 秦始皇,"1,530",0d 01:44h,7,10,0.70,3,China
44,TNock,"1,519",0d 01:14h,4,3,1.33,4,Viet Nam
45,Serdiukov001,"1,515",0d 00:54h,33,20,1.65,20,China
46,Johann.Sebastian.Bach,"1,509",0d 08:08h,7,20,0.35,1,"Taiwan, Province of China"
47,linGmi,"1,509",0d 00:59h,0,0,0.00,0,China
48,[NoBot],"1,471",0d 01:44h,6,22,0.27,3,Australia
49,LiTTLe_GLuE,"1,466",0d 01:13h,0,3,0.00,0,Malaysia
50,鬼彻,"1,460",0d 00:58h,1,2,0.50,0,China
51,vegan,"1,438",0d 00:22h,24,9,2.67,17,Romania
52,缺隊友,"1,427",0d 01:11h,2,4,0.50,0,"Taiwan, Province of China"
53,RazoR,"1,406",0d 01:04h,8,13,0.62,4,Philippines
54,I's Mitanic Akuma：KoGaSen【R,"1,394",0d 01:23h,18,6,3.00,2,"Taiwan, Province of China"
55,神威ڴR 刺蝟,"1,375",0d 00:34h,10,1,10.00,7,"Taiwan, Province of China"
56,无颜祖,"1,365",0d 01:28h,0,7,0.00,0,China
57,Corn,"1,336",0d 01:12h,0,0,0.00,0,Indonesia
58,glubtupus wepple,"1,335",0d 00:33h,0,0,0.00,0,Philippines
59,OldDriver佬撕雞,"1,334",0d 00:37h,0,0,0.00,0,China
60,2954107536,"1,325",0d 00:52h,3,3,1.00,0,China
61,痛苦达摩,"1,322",0d 00:33h,1,0,1.00,0,China
62,Timbrhǫggvandi,"1,310",0d 00:29h,0,0,0.00,0,Japan
63,一个小小的看客,"1,306",0d 00:59h,10,23,0.43,4,China
64,☆N.O.E.L☆,"1,304",0d 00:50h,24,39,0.62,13,Macao
65,Harusame,"1,301",0d 00:37h,0,0,0.00,0,Thailand
66,docydocs69,"1,296",0d 00:14h,18,10,1.80,14,Philippines
67,PLAYYYYYYYYYYY+™♔,"1,284",0d 00:26h,3,1,3.00,2,"Taiwan, Province of China"
68,Blitzkrieg,"1,281",0d 00:28h,0,0,0.00,0,Australia
69,玖哲,"1,277",0d 00:33h,0,0,0.00,0,"Taiwan, Province of China"
70,python,"1,274",0d 00:38h,0,0,0.00,0,Philippines
71,tairitsu,"1,267",0d 00:37h,20,10,2.00,8,China
72,幻影枪神,"1,266",0d 00:47h,11,13,0.85,8,China
